Name,Team,PA,H,HR,R,RBI,SB,AVG,OBP,SLG,wRC+,WAR,id
Mike Trout,Angels,639,182,30,129,83,49,0.326,0.399,0.564,166,10,10155
Buster Posey,Giants,610,178,24,78,103,1,0.336,0.408,0.549,162,8,9166
Ryan Braun,Brewers,677,191,41,108,112,30,0.319,0.391,0.595,162,7.9,3410
Robinson Cano,Yankees,697,196,33,105,94,3,0.313,0.379,0.55,150,7.8,3269
David Wright,Mets,670,178,21,91,93,15,0.306,0.391,0.492,140,7.8,3787
Chase Headley,Padres,699,173,31,95,115,17,0.286,0.376,0.498,145,7.5,4720
Andrew McCutchen,Pirates,673,194,31,107,96,20,0.327,0.4,0.553,158,7.4,9847
Miguel Cabrera,Tigers,697,205,44,109,139,4,0.33,0.393,0.606,166,7.1,1744
Jason Heyward,Braves,651,158,27,93,82,21,0.269,0.335,0.479,120,6.6,4940
Adrian Beltre,Rangers,654,194,36,95,102,1,0.321,0.359,0.561,140,6.5,639
Yadier Molina,Cardinals,563,159,22,65,76,12,0.315,0.373,0.501,139,6.5,7007
Aramis Ramirez,Brewers,630,171,27,92,105,9,0.3,0.36,0.54,142,6.5,1002
Michael Bourn,Braves,703,171,9,96,57,42,0.274,0.348,0.391,104,6.4,6387
Aaron Hill,Diamondbacks,668,184,26,93,85,14,0.302,0.36,0.522,131,6.2,6104
Martin Prado,Braves,690,186,10,81,70,17,0.301,0.359,0.438,116,5.9,3312
Ben Zobrist,Rays,668,151,20,88,74,14,0.27,0.377,0.471,137,5.9,7435
Alex Gordon,Royals,721,189,14,93,72,10,0.294,0.368,0.455,126,5.9,5209
Austin Jackson,Tigers,617,163,16,103,66,12,0.3,0.377,0.479,135,5.5,9848
Ian Desmond,Nationals,547,150,25,72,73,21,0.292,0.335,0.511,128,5.4,6885
Torii Hunter,Angels,584,167,16,81,92,9,0.313,0.365,0.451,130,5.3,731
Matt Holliday,Cardinals,688,177,27,95,102,4,0.295,0.379,0.497,141,5.1,1873
Joe Mauer,Twins,641,174,10,81,85,8,0.319,0.416,0.446,140,5,1857
Miguel Montero,Diamondbacks,573,139,15,65,88,0,0.286,0.391,0.438,123,5,3364
Jimmy Rollins,Phillies,699,158,23,102,68,30,0.25,0.316,0.427,101,4.9,971
Prince Fielder,Tigers,690,182,30,83,108,1,0.313,0.412,0.528,153,4.9,4613
Bryce Harper,Nationals,597,144,22,98,59,18,0.27,0.34,0.477,121,4.9,11579
Josh Reddick,Athletics,673,148,32,85,85,11,0.242,0.305,0.463,108,4.8,3892
Angel Pagan,Giants,659,174,8,95,56,29,0.288,0.338,0.44,113,4.8,2918
Adam Jones,Orioles,697,186,32,103,82,16,0.287,0.334,0.505,126,4.6,6368
Dustin Pedroia,Red Sox,623,163,15,81,65,20,0.29,0.347,0.449,113,4.5,8370
Ryan Zimmerman,Nationals,641,163,25,93,95,5,0.282,0.346,0.478,121,4.5,4220
Jose Reyes,Marlins,716,184,11,86,57,40,0.287,0.347,0.433,109,4.5,1736
Edwin Encarnacion,Blue Jays,644,152,42,93,110,13,0.28,0.384,0.557,152,4.4,2151
Josh Hamilton,Rangers,636,160,43,103,128,7,0.285,0.354,0.577,140,4.4,1875
Alex Rios,White Sox,640,184,25,93,91,23,0.304,0.334,0.516,125,4.3,2090
Elvis Andrus,Rangers,711,180,3,85,62,21,0.286,0.349,0.378,95,4.2,8709
Matt Wieters,Orioles,593,131,23,67,83,3,0.249,0.329,0.435,106,4.1,4298
David Freese,Cardinals,567,147,20,70,79,3,0.293,0.372,0.467,132,4.1,9549
A.J. Ellis,Dodgers,505,114,13,44,52,0,0.27,0.373,0.414,118,4.1,5677
Alfonso Soriano,Cubs,615,147,32,68,108,6,0.262,0.322,0.499,116,4,847
David Murphy,Rangers,521,139,15,65,61,10,0.304,0.38,0.479,127,4,6035
Brandon Phillips,Reds,623,163,18,86,77,15,0.281,0.321,0.429,101,4,791
Nick Swisher,Yankees,624,146,24,75,93,2,0.272,0.364,0.473,128,3.9,4599
Albert Pujols,Angels,670,173,30,85,105,8,0.285,0.343,0.516,132,3.9,1177
