Name,Team,W,L,GS,IP,K/9,BB/9,GB%,SV,ERA,FIP,WAR,id
Justin Verlander,Tigers,17,8,33,238.1,9.03,2.27,42.30%,0,2.64,2.94,6.8,1
Felix Hernandez,Mariners,13,9,33,232,8.65,2.17,48.90%,0,3.06,2.84,6.1,2
Clayton Kershaw,Dodgers,14,9,33,227.2,9.05,2.49,46.90%,0,2.53,2.89,5.5,3
Gio Gonzalez,Nationals,21,8,32,199.1,9.35,3.43,48.20%,0,2.89,2.82,5.4,4
David Price,Rays,20,5,31,211,8.74,2.52,53.10%,0,2.56,3.05,5.1,5
Yu Darvish,Rangers,16,9,29,191.1,10.4,4.19,46.20%,0,3.9,3.29,5.1,6
Zack Greinke,- - -,15,5,34,212.1,8.48,2.29,49.20%,0,3.48,3.1,5.1,7
Chris Sale,White Sox,17,8,29,192,9,2.39,44.90%,0,3.05,3.27,4.9,8
Cliff Lee,Phillies,6,9,30,211,8.83,1.19,45.00%,0,3.16,3.13,4.9,9
Wade Miley,Diamondbacks,16,11,29,194.2,6.66,1.71,43.30%,0,3.33,3.15,4.8,10
Johnny Cueto,Reds,19,9,33,217,7.05,2.03,48.90%,0,2.78,3.27,4.8,11
CC Sabathia,Yankees,15,6,28,200,8.87,1.98,48.20%,0,3.38,3.33,4.8,12
R.A. Dickey,Mets,20,6,33,233.2,8.86,2.08,46.10%,0,2.73,3.27,4.6,13
Max Scherzer,Tigers,16,7,32,187.2,11.08,2.88,36.50%,0,3.74,3.27,4.6,14
Cole Hamels,Phillies,17,6,31,215.1,9.03,2.17,43.40%,0,3.05,3.3,4.5,15
Jake Peavy,White Sox,11,12,32,219,7.97,2.01,36.50%,0,3.37,3.73,4.4,16
Adam Wainwright,Cardinals,14,13,32,198.2,8.34,2.36,50.80%,0,3.94,3.1,4.4,17
James Shields,Rays,15,10,33,227.2,8.82,2.29,52.30%,0,3.52,3.47,4.3,18
Stephen Strasburg,Nationals,15,6,28,159.1,11.13,2.71,44.20%,0,3.16,2.82,4.3,19
Kris Medlen,Braves,10,1,12,138,7.83,1.5,53.40%,1,1.57,2.42,3.9,20
Hiroki Kuroda,Yankees,16,11,33,219.2,6.84,2.09,52.30%,0,3.32,3.86,3.9,21
Matt Cain,Giants,16,5,32,219.1,7.92,2.09,37.40%,0,2.79,3.4,3.8,22
Matt Harrison,Rangers,18,11,32,213.1,5.61,2.49,49.00%,0,3.29,4.03,3.8,23
Anibal Sanchez,- - -,9,13,31,195.2,7.68,2.21,46.40%,0,3.86,3.53,3.8,24
Josh Johnson,Marlins,8,14,31,191.1,7.76,3.06,46.20%,0,3.81,3.4,3.8,25
Jarrod Parker,Athletics,13,8,29,181.1,6.95,3.13,44.30%,0,3.47,3.43,3.7,26
Doug Fister,Tigers,10,10,26,161.2,7.63,2.06,51.00%,0,3.45,3.42,3.6,27
Kyle Lohse,Cardinals,16,3,33,211,6.1,1.62,40.50%,0,2.86,3.51,3.6,28
Craig Kimbrel,Braves,3,1,0,62.2,16.66,2.01,49.00%,42,1.01,0.78,3.6,29
Jordan Zimmermann,Nationals,12,8,32,195.2,7.04,1.98,43.40%,0,2.94,3.51,3.5,30
A.J. Burnett,Pirates,16,10,31,202.1,8.01,2.76,56.90%,0,3.51,3.52,3.4,31
Trevor Cahill,Diamondbacks,13,12,32,200,7.02,3.33,61.20%,0,3.78,3.85,3.4,32
Madison Bumgarner,Giants,16,11,32,208.1,8.25,2.12,47.90%,0,3.37,3.5,3.4,33
Ryan Dempster,- - -,12,8,28,173,7.96,2.71,43.50%,0,3.38,3.69,3.3,34
Aroldis Chapman,Reds,5,5,0,71.2,15.32,2.89,37.30%,38,1.51,1.55,3.3,35
Jeff Samardzija,Cubs,9,13,28,174.2,9.27,2.89,44.60%,0,3.81,3.55,3.3,36
Jon Lester,Red Sox,9,14,33,205.1,7.28,2.98,49.20%,0,4.82,4.11,3.3,37
Mat Latos,Reds,14,4,33,209.1,7.95,2.75,45.60%,0,3.48,3.85,3.1,38
Ian Kennedy,Diamondbacks,15,12,33,208.1,8.08,2.38,37.30%,0,4.02,4.04,3.1,39
Jered Weaver,Angels,20,5,30,188.2,6.77,2.15,36.00%,0,2.81,3.75,3,40
Mike Fiers,Brewers,9,10,22,127.2,9.52,2.54,32.70%,0,3.74,3.09,3,41
Lance Lynn,Cardinals,18,7,29,176,9.2,3.27,43.80%,0,3.78,3.49,2.9,42
Rick Porcello,Tigers,10,12,31,176.1,5.46,2.25,53.20%,0,4.59,3.91,2.9,43
Jaime Garcia,Cardinals,7,7,20,121.2,7.25,2.22,53.70%,0,3.92,2.97,2.9,44
Jason Hammel,Orioles,8,6,20,118,8.62,3.2,53.20%,0,3.43,3.29,2.9,45
Lucas Harrell,Astros,11,11,32,193.2,6.51,3.62,57.20%,0,3.76,3.75,2.8,46
Homer Bailey,Reds,13,10,33,208,7.27,2.25,44.90%,0,3.68,3.97,2.8,47
Tommy Milone,Athletics,13,10,31,190,6.49,1.71,38.10%,0,3.74,3.93,2.7,48
Marco Estrada,Brewers,5,7,23,138.1,9.3,1.89,34.30%,0,3.64,3.35,2.7,49
Chad Billingsley,Dodgers,10,9,25,149.2,7.7,2.71,45.40%,0,3.55,3.34,2.7,50
Yovani Gallardo,Brewers,16,9,33,204,9,3.57,47.70%,0,3.66,3.94,2.7,51
Edwin Jackson,Nationals,10,11,31,189.2,7.97,2.75,47.30%,0,4.03,3.85,2.7,52
Ricky Nolasco,Marlins,12,13,31,191,5.89,2.21,46.60%,0,4.48,3.87,2.7,53
Tim Hudson,Braves,16,7,28,179,5.13,2.41,55.50%,0,3.62,3.78,2.6,54
Scott Diamond,Twins,12,9,27,173,4.68,1.61,53.40%,0,3.54,3.94,2.6,55
Ryan Vogelsong,Giants,14,9,31,189.2,7.5,2.94,43.50%,0,3.37,3.7,2.6,56
Joe Saunders,- - -,9,13,28,174.2,5.77,2.01,43.10%,0,4.07,4.08,2.5,57
Wandy Rodriguez,- - -,12,13,33,205.2,6.08,2.45,48.00%,0,3.76,3.93,2.5,58
Roy Halladay,Phillies,11,8,25,156.1,7.6,2.07,44.70%,0,4.49,3.69,2.5,59
C.J. Wilson,Angels,13,10,34,202.1,7.7,4.05,50.30%,0,3.83,4.04,2.5,60
Bronson Arroyo,Reds,12,10,32,202,5.75,1.56,41.40%,0,3.74,4.08,2.5,61
Paul Maholm,- - -,13,11,31,189,6.67,2.52,51.20%,0,3.67,4,2.5,62
Jon Niese,Mets,13,9,30,190.1,7.33,2.32,48.30%,0,3.4,3.8,2.4,63
Fernando Rodney,Rays,2,2,0,74.2,9.16,1.81,57.90%,48,0.6,2.13,2.4,64
Brandon Morrow,Blue Jays,10,7,21,124.2,7.8,2.96,41.10%,0,2.96,3.65,2.4,65
Joe Blanton,- - -,10,13,30,191,7.82,1.6,44.60%,0,4.71,3.91,2.4,66
Bartolo Colon,Athletics,10,9,24,152.1,5.38,1.36,45.70%,0,3.43,3.82,2.4,67
Justin Masterson,Indians,11,15,34,206.1,6.94,3.84,55.70%,0,4.93,4.16,2.3,68
Matt Moore,Rays,11,11,31,177.1,8.88,4.11,37.40%,0,3.81,3.93,2.3,69
Josh Beckett,- - -,7,14,28,170.1,6.97,2.75,42.50%,0,4.65,4.15,2.3,70
Scott Feldman,Rangers,6,11,21,123.2,6.99,2.33,42.20%,0,5.09,3.81,2.3,71
Jake Westbrook,Cardinals,13,11,28,174.2,5.46,2.68,58.10%,0,3.97,3.8,2.3,72
Alex Cobb,Rays,11,9,23,136.1,7,2.64,58.80%,0,4.03,3.67,2.2,73
Wei-Yin Chen,Orioles,12,11,32,192.2,7.19,2.66,37.10%,0,4.02,4.42,2.2,74
Greg Holland,Royals,7,4,0,67,12.22,4.57,45.30%,16,2.96,2.29,2.2,75
David Hernandez,Diamondbacks,2,3,0,68.1,12.91,2.9,31.40%,4,2.5,2.08,2.1,76
Felix Doubront,Red Sox,11,10,29,161,9.34,3.97,43.70%,0,4.86,4.37,2.1,77
Mark Buehrle,Marlins,13,13,31,202.1,5.56,1.78,41.30%,0,3.74,4.18,2.1,78
Chris Capuano,Dodgers,12,12,33,198.1,7.35,2.45,40.30%,0,3.72,3.95,2.1,79
Matt Belisle,Rockies,3,8,0,80,7.76,2.03,50.60%,3,3.71,2.97,2.1,80
Colby Lewis,Rangers,6,6,16,105,7.97,1.2,33.00%,0,3.43,3.88,2.1,81
Gavin Floyd,White Sox,12,11,29,168,7.71,3.38,47.20%,0,4.29,4.46,2,82
Jake McGee,Rays,5,2,0,55.1,11.87,1.79,44.00%,0,1.95,1.81,2,83
Kevin Millwood,Mariners,6,12,28,161,5.98,3.13,44.70%,0,4.25,3.91,2,84
Kelvin Herrera,Royals,4,3,0,84.1,8.22,2.24,55.50%,3,2.35,2.7,1.9,85
Clay Buchholz,Red Sox,11,8,29,189.1,6.13,3.04,47.60%,0,4.56,4.65,1.9,86
Jose Quintana,White Sox,6,6,22,136.1,5.35,2.77,47.20%,0,3.76,4.23,1.9,87
Vance Worley,Phillies,6,9,23,133,7.24,3.18,46.00%,0,4.2,3.85,1.9,88
Phil Hughes,Yankees,16,13,32,191.1,7.76,2.16,32.40%,0,4.23,4.56,1.9,89
Brandon McCarthy,Athletics,8,6,18,111,5.92,1.95,40.50%,0,3.24,3.76,1.8,90
Francisco Liriano,- - -,6,12,28,156.2,9.59,5,43.80%,0,5.34,4.34,1.8,91
Luis Mendoza,Royals,8,10,25,166,5.64,3.2,52.10%,0,4.23,4.28,1.8,92
Dan Haren,Angels,12,13,30,176.2,7.23,1.94,39.60%,0,4.33,4.24,1.8,93
Sean Marshall,Reds,5,5,0,61,10.92,2.36,56.30%,9,2.51,2.24,1.8,94
Jeff Francis,Rockies,6,7,24,113,6.05,1.75,50.30%,0,5.58,4.27,1.8,95
Ross Detwiler,Nationals,10,8,27,164.1,5.75,2.85,50.80%,0,3.4,4.04,1.8,96
Joe Nathan,Rangers,3,5,0,64.1,10.91,1.82,45.40%,37,2.8,2.78,1.8,97
J.A. Happ,- - -,10,11,24,144.2,8.96,3.48,44.00%,0,4.79,4.01,1.8,98
Derek Holland,Rangers,12,7,27,175.1,7.44,2.67,43.10%,0,4.67,4.75,1.7,99
David Robertson,Yankees,2,7,0,60.2,12.02,2.82,44.90%,2,2.67,2.48,1.7,100
Kenley Jansen,Dodgers,5,3,0,65,13.71,3.05,32.80%,25,2.35,2.4,1.7,101
Drew Smyly,Tigers,4,3,18,99.1,8.52,2.99,39.90%,0,3.99,3.83,1.7,102
Andy Pettitte,Yankees,5,4,12,75.1,8.24,2.51,56.30%,0,2.87,3.48,1.7,103
Jeff Karstens,Pirates,5,4,15,90.2,6.55,1.49,36.80%,0,3.97,3.32,1.7,104
James McDonald,Pirates,12,8,29,171,7.95,3.63,39.20%,0,4.21,4.21,1.7,105
J.J. Putz,Diamondbacks,1,5,0,54.1,10.77,1.82,45.70%,32,2.82,2.38,1.6,106
Jake Arrieta,Orioles,3,9,18,114.2,8.56,2.75,43.80%,0,6.2,4.05,1.6,107
Ivan Nova,Yankees,12,8,28,170.1,8.08,2.96,45.20%,0,5.02,4.6,1.6,108
Ryan Cook,Athletics,6,2,0,73.1,9.82,3.31,46.80%,14,2.09,2.89,1.6,109
Tom Wilhelmsen,Mariners,4,3,0,79.1,9.87,3.29,48.30%,29,2.5,2.89,1.5,110
Dillon Gee,Mets,6,7,17,109.2,7.96,2.38,50.30%,0,4.1,3.71,1.5,111
Octavio Dotel,Tigers,5,3,0,58,9.62,1.86,40.00%,1,3.57,2.3,1.5,112
Mike Leake,Reds,8,9,30,179,5.83,2.06,48.90%,0,4.58,4.42,1.5,113
Bud Norris,Astros,7,13,29,168.1,8.82,3.53,39.20%,0,4.65,4.23,1.5,114
Luke Hochevar,Royals,8,16,32,185.1,6.99,2.96,43.30%,0,5.73,4.63,1.5,115
Brandon Beachy,Braves,5,5,13,81,7.56,3.22,41.30%,0,2,3.49,1.5,116
Aaron Harang,Dodgers,10,10,31,179.2,6.56,4.26,38.60%,0,3.61,4.14,1.5,117
Patrick Corbin,Diamondbacks,6,8,17,107,7.23,2.1,45.70%,1,4.54,4,1.5,118
Tim Lincecum,Giants,10,15,33,186,9.19,4.35,45.90%,0,5.18,4.18,1.5,119
Grant Balfour,Athletics,3,2,0,74.2,8.68,3.38,35.80%,24,2.53,3.03,1.5,120
Rafael Betancourt,Rockies,1,4,0,57.2,8.9,1.87,36.00%,31,2.81,3.09,1.4,121
Jonathan Papelbon,Phillies,5,6,0,70,11.83,2.31,41.50%,38,2.44,2.89,1.4,122
Jim Johnson,Orioles,2,1,0,68.2,5.37,1.97,62.30%,51,2.49,3.25,1.4,123
Mike Minor,Braves,11,10,30,179.1,7.28,2.81,35.40%,0,4.12,4.38,1.4,124
Shaun Marcum,Brewers,7,4,21,124,7.91,2.98,35.40%,0,3.7,4.1,1.4,125
Darren O'Day,Orioles,7,1,0,67,9.27,1.88,33.90%,0,2.28,2.96,1.4,126
Wilton Lopez,Astros,6,3,0,66.1,7.33,1.09,55.00%,10,2.17,2.7,1.4,127
Matt Thornton,White Sox,4,10,0,65,7.34,2.35,54.30%,3,3.46,3.19,1.4,128
Edinson Volquez,Padres,11,11,32,182.2,8.57,5.17,50.60%,0,4.14,4.06,1.3,129
